Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close
2025-05-27 20:00,2025-05-27 20:30,LONG,100,70.6,70.83,23.0,100008.86
2025-05-27 21:00,2025-05-27 21:30,LONG,100,71.03,70.9,-13.0,99981.66
2025-05-27 22:00,2025-05-27 22:30,SHORT,200,70.7,70.65,10.0,99963.39
2025-05-28 16:30,2025-05-28 17:00,LONG,100,71.34,70.96,-38.0,99911.16
2025-05-28 17:30,2025-05-28 18:00,SHORT,200,70.85,70.61,48.0,99930.87
2025-05-28 18:30,2025-05-28 19:00,LONG,100,70.87,70.66,-21.0,99895.72
2025-05-28 19:30,2025-05-28 20:00,SHORT,200,70.97,70.93,8.0,99875.34
2025-05-28 20:30,2025-05-28 21:00,LONG,100,71.07,70.99,-8.0,99853.13
2025-05-28 21:30,2025-05-28 22:00,SHORT,200,71.09,70.97,24.0,99848.72
2025-05-28 22:30,2025-05-28 23:00,LONG,100,70.86,70.02,-84.0,99750.63
2025-05-29 16:30,2025-05-29 17:00,SHORT,200,72.99,71.46,306.0,100027.74
2025-05-29 17:30,2025-05-29 18:00,LONG,100,70.84,71.44,60.0,100073.51
2025-05-29 18:30,2025-05-29 19:00,LONG,100,71.29,69.78,-151.0,99908.41
2025-05-29 19:30,2025-05-29 20:00,SHORT,200,70.55,70.82,-54.0,99826.13
2025-05-29 20:30,2025-05-29 21:00,LONG,400,70.45,70.02,-172.0,99597.95
2025-05-29 21:30,2025-05-29 22:00,SHORT,800,69.63,69.92,-232.0,99254.31
2025-11-20 17:00,2025-11-20 17:30,LONG,1600,53.33,53.23,-160.0,98923.81
