train_end,stop_loss_cash,Total PnL
2020-10-01,200.0,768.0
2020-11-01,50.0,-1252.0
2020-12-01,300.0,-126.0
2021-01-01,50.0,173.0
2021-02-01,500.0,1316.0
2021-03-01,100.0,417.0
2021-04-01,450.0,28.0
2021-05-01,350.0,-394.0
2021-06-01,100.0,-187.0
2021-07-01,500.0,577.0
2021-08-01,350.0,62.0
2021-09-01,400.0,509.0
2021-10-01,250.0,3260.0
2021-11-01,100.0,3445.0
2021-12-01,100.0,1289.0
2022-01-01,200.0,45.0
2022-02-01,300.0,632.0
2022-03-01,150.0,1204.0
2022-04-01,100.0,2513.0
2022-05-01,200.0,2439.0
2022-06-01,200.0,6479.0
2022-07-01,300.0,7345.0
2022-08-01,100.0,8197.0
2022-09-01,400.0,5776.0
2022-10-01,300.0,5779.0
2022-11-01,150.0,3111.0
2022-12-01,200.0,3655.0
2023-01-01,150.0,3918.0
2023-02-01,250.0,3165.0
2023-03-01,150.0,3828.0
2023-04-01,200.0,62.0
2023-05-01,100.0,154.0
2023-06-01,450.0,0.0
2023-07-01,150.0,-5682.0
2023-08-01,500.0,-6704.0
2023-09-01,250.0,4871.0
2023-10-01,500.0,-831.0
2023-11-01,50.0,-932.0
2023-12-01,100.0,-1076.0
2024-01-01,200.0,1253.0
2024-02-01,200.0,1430.0
2024-03-01,300.0,1613.0
2024-04-01,200.0,1496.0
2024-05-01,500.0,-527.0
2024-06-01,100.0,464.0
2024-07-01,500.0,52.0
2024-08-01,300.0,1456.0
2024-09-01,150.0,166.0
